# JMH version: 1.19
# VM version: JDK 1.8.0_131, VM 25.131-b11
# VM invoker: /usr/lib/jvm/java-8-oracle/jre/bin/java
# VM options: <none>
# Warmup: 20 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: com.github.arnaudroger.Seq2ArrayAccess.testGet
# Parameters: (size = 10)

Iteration   6: 7.624 ns/op
Iteration   7: 7.626 ns/op
Iteration   8: 7.633 ns/op
Iteration   9: 7.640 ns/op
Iteration  10: 7.631 ns/op
Iteration  11: 7.626 ns/op
Iteration  12: 7.647 ns/op
Iteration  13: 7.658 ns/op
Iteration  14: 7.664 ns/op
Iteration  15: 7.608 ns/op
Iteration  16: 7.614 ns/op
Iteration  17: 7.659 ns/op
Iteration  18: 7.655 ns/op
Iteration  19: 7.684 ns/op
Iteration  20: 7.613 ns/op

# Run progress: 8.33% complete, ETA 00:36:55
# Fork: 6 of 10
# Warmup Iteration   1: 10.067 ns/op
# Warmup Iteration   2: 10.128 ns/op
# Warmup Iteration   3: 8.459 ns/op
# Warmup Iteration   4: 8.459 ns/op
# Warmup Iteration   5: 8.455 ns/op
# Warmup Iteration   6: 8.453 ns/op
# Warmup Iteration   7: 8.459 ns/op
# Warmup Iteration   8: 8.776 ns/op
# Warmup Iteration   9: 8.458 ns/op
# Warmup Iteration  10: 8.459 ns/op
# Warmup Iteration  11: 8.462 ns/op
# Warmup Iteration  12: 8.474 ns/op
# Warmup Iteration  13: 8.552 ns/op
# Warmup Iteration  14: 8.456 ns/op
# Warmup Iteration  15: 8.453 ns/op
# Warmup Iteration  16: 8.454 ns/op
# Warmup Iteration  17: 7.624 ns/op
# Warmup Iteration  18: 7.653 ns/op
# Warmup Iteration  19: 7.598 ns/op
# Warmup Iteration  20: 7.610 ns/op
Iteration   1: 7.596 ns/op
Iteration   2: 7.635 ns/op
Iteration   3: 7.890 ns/op
Iteration   4: 7.620 ns/op
Iteration   5: 7.636 ns/op
Iteration   6: 7.592 ns/op
Iteration   7: 7.639 ns/op
Iteration   8: 7.670 ns/op
Iteration   9: 7.647 ns/op
Iteration  10: 7.608 ns/op
Iteration  11: 7.650 ns/op
Iteration  12: 7.616 ns/op
Iteration  13: 7.653 ns/op
Iteration  14: 7.605 ns/op
Iteration  15: 7.656 ns/op
Iteration  16: 7.629 ns/op
Iteration  17: 7.649 ns/op
Iteration  18: 7.654 ns/op
Iteration  19: 7.626 ns/op
Iteration  20: 7.612 ns/op

# Run progress: 10.00% complete, ETA 00:36:15
# Fork: 7 of 10
# Warmup Iteration   1: 7.494 ns/op
# Warmup Iteration   2: 7.502 ns/op
# Warmup Iteration   3: 7.717 ns/op
# Warmup Iteration   4: 7.730 ns/op
# Warmup Iteration   5: 7.703 ns/op
# Warmup Iteration   6: 7.702 ns/op
# Warmup Iteration   7: 7.697 ns/op
# Warmup Iteration   8: 7.707 ns/op
# Warmup Iteration   9: 7.698 ns/op
# Warmup Iteration  10: 7.695 ns/op
# Warmup Iteration  11: 7.700 ns/op
# Warmup Iteration  12: 7.704 ns/op
# Warmup Iteration  13: 7.716 ns/op
# Warmup Iteration  14: 7.719 ns/op
# Warmup Iteration  15: 7.685 ns/op
# Warmup Iteration  16: 7.696 ns/op
# Warmup Iteration  17: 7.617 ns/op
# Warmup Iteration  18: 7.675 ns/op
# Warmup Iteration  19: 7.618 ns/op
# Warmup Iteration  20: 7.650 ns/op
Iteration   1: 7.609 ns/op
Iteration   2: 7.631 ns/op
Iteration   3: 7.637 ns/op
Iteration   4: 7.633 ns/op
Iteration   5: 7.582 ns/op
Iteration   6: 7.627 ns/op
Iteration   7: 7.623 ns/op
Iteration   8: 7.630 ns/op
Iteration   9: 7.621 ns/op
Iteration  10: 7.626 ns/op
Iteration  11: 7.600 ns/op
Iteration  12: 7.614 ns/op
Iteration  13: 7.629 ns/op
Iteration  14: 7.592 ns/op
Iteration  15: 7.599 ns/op
Iteration  16: 7.592 ns/op
Iteration  17: 7.649 ns/op
Iteration  18: 7.634 ns/op
Iteration  19: 7.631 ns/op
Iteration  20: 7.613 ns/op

# Run progress: 11.67% complete, ETA 00:35:34
# Fork: 8 of 10
# Warmup Iteration   1: 7.636 ns/op
# Warmup Iteration   2: 7.494 ns/op
# Warmup Iteration   3: 7.701 ns/op
# Warmup Iteration   4: 7.655 ns/op
# Warmup Iteration   5: 7.643 ns/op
# Warmup Iteration   6: 7.611 ns/op
# Warmup Iteration   7: 7.628 ns/op
# Warmup Iteration   8: 7.673 ns/op
# Warmup Iteration   9: 7.635 ns/op
# Warmup Iteration  10: 7.625 ns/op
# Warmup Iteration  11: 7.627 ns/op
# Warmup Iteration  12: 7.671 ns/op
# Warmup Iteration  13: 7.695 ns/op
# Warmup Iteration  14: 7.620 ns/op
# Warmup Iteration  15: 7.650 ns/op
# Warmup Iteration  16: 7.618 ns/op
# Warmup Iteration  17: 7.625 ns/op
# Warmup Iteration  18: 7.672 ns/op
# Warmup Iteration  19: 7.641 ns/op
# Warmup Iteration  20: 7.608 ns/op
Iteration   1: 7.601 ns/op
Iteration   2: 7.638 ns/op
Iteration   3: 7.663 ns/op
Iteration   4: 7.617 ns/op
Iteration   5: 7.626 ns/op
Iteration   6: 7.611 ns/op
Iteration   7: 7.619 ns/op
Iteration   8: 7.686 ns/op
Iteration   9: 7.632 ns/op
Iteration  10: 7.616 ns/op
Iteration  11: 7.610 ns/op
Iteration  12: 7.637 ns/op
Iteration  13: 7.697 ns/op
Iteration  14: 7.797 ns/op
Iteration  15: 7.639 ns/op
Iteration  16: 7.628 ns/op
Iteration  17: 7.657 ns/op
Iteration  18: 7.687 ns/op
Iteration  19: 7.615 ns/op
Iteration  20: 7.613 ns/op

# Run progress: 13.33% complete, ETA 00:34:54
# Fork: 9 of 10
# Warmup Iteration   1: 7.532 ns/op
# Warmup Iteration   2: 7.544 ns/op
# Warmup Iteration   3: 7.620 ns/op
# Warmup Iteration   4: 7.636 ns/op
# Warmup Iteration   5: 7.632 ns/op
# Warmup Iteration   6: 7.628 ns/op
# Warmup Iteration   7: 7.597 ns/op
# Warmup Iteration   8: 7.655 ns/op
# Warmup Iteration   9: 7.604 ns/op
# Warmup Iteration  10: 7.622 ns/op
# Warmup Iteration  11: 7.639 ns/op
# Warmup Iteration  12: 7.617 ns/op
# Warmup Iteration  13: 7.643 ns/op
# Warmup Iteration  14: 7.591 ns/op
# Warmup Iteration  15: 7.593 ns/op
# Warmup Iteration  16: 7.675 ns/op
# Warmup Iteration  17: 7.777 ns/op
# Warmup Iteration  18: 7.657 ns/op
# Warmup Iteration  19: 7.617 ns/op
# Warmup Iteration  20: 7.641 ns/op
Iteration   1: 7.603 ns/op
Iteration   2: 7.630 ns/op
Iteration   3: 7.671 ns/op
Iteration   4: 7.607 ns/op
Iteration   5: 7.616 ns/op
Iteration   6: 7.637 ns/op
Iteration   7: 7.648 ns/op
Iteration   8: 7.654 ns/op
Iteration   9: 7.635 ns/op
Iteration  10: 7.632 ns/op
Iteration  11: 7.645 ns/op
Iteration  12: 7.622 ns/op
Iteration  13: 7.618 ns/op
Iteration  14: 7.596 ns/op
Iteration  15: 7.578 ns/op
Iteration  16: 7.593 ns/op
Iteration  17: 7.625 ns/op
Iteration  18: 7.663 ns/op
Iteration  19: 7.578 ns/op
Iteration  20: 7.596 ns/op

# Run progress: 15.00% complete, ETA 00:34:13
# Fork: 10 of 10
# Warmup Iteration   1: 7.512 ns/op
# Warmup Iteration   2: 7.532 ns/op
# Warmup Iteration   3: 7.629 ns/op
# Warmup Iteration   4: 7.621 ns/op
# Warmup Iteration   5: 7.633 ns/op
# Warmup Iteration   6: 7.653 ns/op
# Warmup Iteration   7: 7.632 ns/op
# Warmup Iteration   8: 7.625 ns/op
# Warmup Iteration   9: 7.588 ns/op
# Warmup Iteration  10: 7.625 ns/op
# Warmup Iteration  11: 7.673 ns/op
# Warmup Iteration  12: 7.705 ns/op
# Warmup Iteration  13: 7.606 ns/op
# Warmup Iteration  14: 7.621 ns/op
# Warmup Iteration  15: 7.630 ns/op
# Warmup Iteration  16: 7.669 ns/op
# Warmup Iteration  17: 7.886 ns/op
# Warmup Iteration  18: 7.828 ns/op
# Warmup Iteration  19: 7.838 ns/op
# Warmup Iteration  20: 7.835 ns/op
Iteration   1: 7.845 ns/op
Iteration   2: 7.883 ns/op
Iteration   3: 7.828 ns/op
Iteration   4: 7.830 ns/op
Iteration   5: 7.841 ns/op
Iteration   6: 7.844 ns/op
Iteration   7: 7.885 ns/op
Iteration   8: 7.864 ns/op
Iteration   9: 7.837 ns/op
Iteration  10: 7.821 ns/op
Iteration  11: 7.845 ns/op
Iteration  12: 7.881 ns/op
Iteration  13: 7.829 ns/op
Iteration  14: 7.828 ns/op
Iteration  15: 7.835 ns/op
Iteration  16: 7.851 ns/op
Iteration  17: 7.890 ns/op
Iteration  18: 7.831 ns/op
Iteration  19: 7.832 ns/op
Iteration  20: 7.833 ns/op


Result "com.github.arnaudroger.Seq2ArrayAccess.testGet":
  7.653 ±(99.9%) 0.017 ns/op [Average]
  (min, avg, max) = (7.578, 7.653, 7.890), stdev = 0.072
  CI (99.9%): [7.636, 7.670] (assumes normal distribution)


# JMH version: 1.19
# VM version: JDK 1.8.0_131, VM 25.131-b11
# VM invoker: /usr/lib/jvm/java-8-oracle/jre/bin/java
# VM options: <none>
# Warmup: 20 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: com.github.arnaudroger.Seq2ArrayAccess.testGet
# Parameters: (size = 1000)

# Run progress: 16.67% complete, ETA 00:33:33
# Fork: 1 of 10
# Warmup Iteration   1: 327.119 ns/op
# Warmup Iteration   2: 342.699 ns/op
# Warmup Iteration   3: 315.913 ns/op
# Warmup Iteration   4: 315.646 ns/op
# Warmup Iteration   5: 315.400 ns/op
# Warmup Iteration   6: 318.934 ns/op
# Warmup Iteration   7: 317.732 ns/op
# Warmup Iteration   8: 315.788 ns/op
# Warmup Iteration   9: 315.670 ns/op
# Warmup Iteration  10: 315.660 ns/op
# Warmup Iteration  11: 316.095 ns/op
# Warmup Iteration  12: 317.909 ns/op
# Warmup Iteration  13: 315.740 ns/op
# Warmup Iteration  14: 315.828 ns/op
# Warmup Iteration  15: 315.409 ns/op
# Warmup Iteration  16: 316.396 ns/op
# Warmup Iteration  17: 320.471 ns/op
# Warmup Iteration  18: 318.868 ns/op
# Warmup Iteration  19: 318.173 ns/op
# Warmup Iteration  20: 318.155 ns/op
Iteration   1: 318.597 ns/op
Iteration   2: 321.500 ns/op
Iteration   3: 318.734 ns/op
Iteration   4: 317.969 ns/op
Iteration   5: 318.070 ns/op
Iteration   6: 319.189 ns/op
Iteration   7: 320.307 ns/op
Iteration   8: 318.618 ns/op
Iteration   9: 318.358 ns/op
Iteration  10: 318.125 ns/op
Iteration  11: 321.916 ns/op
Iteration  12: 320.261 ns/op
Iteration  13: 318.399 ns/op
Iteration  14: 318.168 ns/op
Iteration  15: 318.348 ns/op
Iteration  16: 318.783 ns/op
Iteration  17: 320.693 ns/op
Iteration  18: 319.419 ns/op
Iteration  19: 317.917 ns/op
Iteration  20: 318.209 ns/op

# Run progress: 18.33% complete, ETA 00:32:53
# Fork: 2 of 10
# Warmup Iteration   1: 321.568 ns/op
# Warmup Iteration   2: 342.685 ns/op
# Warmup Iteration   3: 317.431 ns/op
# Warmup Iteration   4: 315.635 ns/op
# Warmup Iteration   5: 315.429 ns/op
# Warmup Iteration   6: 315.888 ns/op
# Warmup Iteration   7: 317.479 ns/op
# Warmup Iteration   8: 315.527 ns/op
# Warmup Iteration   9: 315.566 ns/op
# Warmup Iteration  10: 315.630 ns/op
# Warmup Iteration  11: 316.010 ns/op
# Warmup Iteration  12: 318.029 ns/op
# Warmup Iteration  13: 315.720 ns/op
# Warmup Iteration  14: 315.492 ns/op
# Warmup Iteration  15: 315.438 ns/op
# Warmup Iteration  16: 317.087 ns/op
# Warmup Iteration  17: 320.332 ns/op
# Warmup Iteration  18: 318.203 ns/op
# Warmup Iteration  19: 317.916 ns/op
# Warmup Iteration  20: 318.343 ns/op
Iteration   1: 318.273 ns/op
Iteration   2: 320.069 ns/op
Iteration   3: 318.012 ns/op
Iteration   4: 318.198 ns/op
Iteration   5: 317.873 ns/op
Iteration   6: 318.790 ns/op
Iteration   7: 322.073 ns/op
Iteration   8: 318.768 ns/op
Iteration   9: 317.987 ns/op
Iteration  10: 317.799 ns/op
Iteration  11: 319.999 ns/op
Iteration  12: 320.147 ns/op
Iteration  13: 317.999 ns/op
Iteration  14: 324.950 ns/op
Iteration  15: 318.770 ns/op
Iteration  16: 319.308 ns/op
Iteration  17: 320.251 ns/op
Iteration  18: 318.446 ns/op
Iteration  19: 318.481 ns/op
Iteration  20: 319.451 ns/op

# Run progress: 20.00% complete, ETA 00:32:12
# Fork: 3 of 10
# Warmup Iteration   1: 330.778 ns/op
# Warmup Iteration   2: 342.490 ns/op
# Warmup Iteration   3: 317.795 ns/op
# Warmup Iteration   4: 317.988 ns/op
# Warmup Iteration   5: 317.716 ns/op
# Warmup Iteration   6: 317.727 ns/op
# Warmup Iteration   7: 319.427 ns/op
# Warmup Iteration   8: 317.994 ns/op
# Warmup Iteration   9: 317.665 ns/op
