# JMH version: 1.19
# VM version: JDK 1.8.0_131, VM 25.131-b11
# VM invoker: /usr/lib/jvm/java-8-oracle/jre/bin/java
# VM options: <none>
# Warmup: 20 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: com.github.arnaudroger.Random2ArrayAccess.testGet
# Parameters: (size = 10)

# Warmup Iteration   2: 22.141 ns/op
# Warmup Iteration   3: 21.684 ns/op
# Warmup Iteration   4: 21.690 ns/op
# Warmup Iteration   5: 21.677 ns/op
# Warmup Iteration   6: 21.742 ns/op
# Warmup Iteration   7: 21.952 ns/op
# Warmup Iteration   8: 21.720 ns/op
# Warmup Iteration   9: 21.708 ns/op
# Warmup Iteration  10: 21.694 ns/op
# Warmup Iteration  11: 21.730 ns/op
# Warmup Iteration  12: 21.833 ns/op
# Warmup Iteration  13: 21.750 ns/op
# Warmup Iteration  14: 21.748 ns/op
# Warmup Iteration  15: 21.722 ns/op
# Warmup Iteration  16: 21.739 ns/op
# Warmup Iteration  17: 22.638 ns/op
# Warmup Iteration  18: 22.412 ns/op
# Warmup Iteration  19: 22.406 ns/op
# Warmup Iteration  20: 22.506 ns/op
Iteration   1: 22.524 ns/op
Iteration   2: 22.023 ns/op
Iteration   3: 21.737 ns/op
Iteration   4: 21.962 ns/op
Iteration   5: 21.890 ns/op
Iteration   6: 21.925 ns/op
Iteration   7: 21.924 ns/op
Iteration   8: 21.988 ns/op
Iteration   9: 21.999 ns/op
Iteration  10: 21.975 ns/op
Iteration  11: 21.989 ns/op
Iteration  12: 22.119 ns/op
Iteration  13: 21.931 ns/op
Iteration  14: 21.877 ns/op
Iteration  15: 21.936 ns/op
Iteration  16: 21.954 ns/op
Iteration  17: 21.940 ns/op
Iteration  18: 21.895 ns/op
Iteration  19: 21.926 ns/op
Iteration  20: 22.021 ns/op

# Run progress: 10.00% complete, ETA 00:36:14
# Fork: 7 of 10
# Warmup Iteration   1: 22.149 ns/op
# Warmup Iteration   2: 21.590 ns/op
# Warmup Iteration   3: 21.536 ns/op
# Warmup Iteration   4: 21.656 ns/op
# Warmup Iteration   5: 22.210 ns/op
# Warmup Iteration   6: 21.691 ns/op
# Warmup Iteration   7: 21.654 ns/op
# Warmup Iteration   8: 21.601 ns/op
# Warmup Iteration   9: 21.607 ns/op
# Warmup Iteration  10: 21.630 ns/op
# Warmup Iteration  11: 21.883 ns/op
# Warmup Iteration  12: 21.624 ns/op
# Warmup Iteration  13: 21.577 ns/op
# Warmup Iteration  14: 21.582 ns/op
# Warmup Iteration  15: 21.633 ns/op
# Warmup Iteration  16: 21.623 ns/op
# Warmup Iteration  17: 21.760 ns/op
# Warmup Iteration  18: 21.894 ns/op
# Warmup Iteration  19: 21.852 ns/op
# Warmup Iteration  20: 21.750 ns/op
Iteration   1: 21.803 ns/op
Iteration   2: 21.762 ns/op
Iteration   3: 21.735 ns/op
Iteration   4: 21.696 ns/op
Iteration   5: 21.798 ns/op
Iteration   6: 21.777 ns/op
Iteration   7: 21.794 ns/op
Iteration   8: 21.776 ns/op
Iteration   9: 21.809 ns/op
Iteration  10: 21.811 ns/op
Iteration  11: 21.772 ns/op
Iteration  12: 21.831 ns/op
Iteration  13: 21.736 ns/op
Iteration  14: 21.854 ns/op
Iteration  15: 21.730 ns/op
Iteration  16: 21.782 ns/op
Iteration  17: 21.809 ns/op
Iteration  18: 21.774 ns/op
Iteration  19: 21.779 ns/op
Iteration  20: 21.834 ns/op

# Run progress: 11.67% complete, ETA 00:35:34
# Fork: 8 of 10
# Warmup Iteration   1: 22.199 ns/op
# Warmup Iteration   2: 21.870 ns/op
# Warmup Iteration   3: 22.003 ns/op
# Warmup Iteration   4: 22.043 ns/op
# Warmup Iteration   5: 22.067 ns/op
# Warmup Iteration   6: 22.142 ns/op
# Warmup Iteration   7: 22.102 ns/op
# Warmup Iteration   8: 22.023 ns/op
# Warmup Iteration   9: 21.989 ns/op
# Warmup Iteration  10: 21.862 ns/op
# Warmup Iteration  11: 21.968 ns/op
# Warmup Iteration  12: 22.009 ns/op
# Warmup Iteration  13: 21.897 ns/op
# Warmup Iteration  14: 21.889 ns/op
# Warmup Iteration  15: 21.927 ns/op
# Warmup Iteration  16: 22.039 ns/op
# Warmup Iteration  17: 21.907 ns/op
# Warmup Iteration  18: 21.915 ns/op
# Warmup Iteration  19: 21.885 ns/op
# Warmup Iteration  20: 22.470 ns/op
Iteration   1: 22.054 ns/op
Iteration   2: 21.890 ns/op
Iteration   3: 21.964 ns/op
Iteration   4: 21.908 ns/op
Iteration   5: 21.939 ns/op
Iteration   6: 22.059 ns/op
Iteration   7: 21.856 ns/op
Iteration   8: 21.953 ns/op
Iteration   9: 21.989 ns/op
Iteration  10: 21.954 ns/op
Iteration  11: 22.039 ns/op
Iteration  12: 21.923 ns/op
Iteration  13: 21.911 ns/op
Iteration  14: 21.893 ns/op
Iteration  15: 21.912 ns/op
Iteration  16: 22.035 ns/op
Iteration  17: 21.890 ns/op
Iteration  18: 22.042 ns/op
Iteration  19: 21.977 ns/op
Iteration  20: 21.964 ns/op

# Run progress: 13.33% complete, ETA 00:34:54
# Fork: 9 of 10
# Warmup Iteration   1: 22.672 ns/op
# Warmup Iteration   2: 21.952 ns/op
# Warmup Iteration   3: 21.718 ns/op
# Warmup Iteration   4: 21.745 ns/op
# Warmup Iteration   5: 21.728 ns/op
# Warmup Iteration   6: 21.756 ns/op
# Warmup Iteration   7: 21.665 ns/op
# Warmup Iteration   8: 21.629 ns/op
# Warmup Iteration   9: 21.694 ns/op
# Warmup Iteration  10: 21.722 ns/op
# Warmup Iteration  11: 21.836 ns/op
# Warmup Iteration  12: 21.745 ns/op
# Warmup Iteration  13: 21.693 ns/op
# Warmup Iteration  14: 21.792 ns/op
# Warmup Iteration  15: 21.725 ns/op
# Warmup Iteration  16: 21.818 ns/op
# Warmup Iteration  17: 22.510 ns/op
# Warmup Iteration  18: 22.439 ns/op
# Warmup Iteration  19: 22.701 ns/op
# Warmup Iteration  20: 21.723 ns/op
Iteration   1: 21.844 ns/op
Iteration   2: 22.420 ns/op
Iteration   3: 22.404 ns/op
Iteration   4: 21.887 ns/op
Iteration   5: 21.955 ns/op
Iteration   6: 21.998 ns/op
Iteration   7: 21.838 ns/op
Iteration   8: 21.929 ns/op
Iteration   9: 21.938 ns/op
Iteration  10: 22.007 ns/op
Iteration  11: 22.119 ns/op
Iteration  12: 21.931 ns/op
Iteration  13: 21.907 ns/op
Iteration  14: 21.950 ns/op
Iteration  15: 22.077 ns/op
Iteration  16: 22.135 ns/op
Iteration  17: 21.899 ns/op
Iteration  18: 21.871 ns/op
Iteration  19: 21.984 ns/op
Iteration  20: 22.065 ns/op

# Run progress: 15.00% complete, ETA 00:34:13
# Fork: 10 of 10
# Warmup Iteration   1: 22.271 ns/op
# Warmup Iteration   2: 21.926 ns/op
# Warmup Iteration   3: 21.708 ns/op
# Warmup Iteration   4: 21.682 ns/op
# Warmup Iteration   5: 21.700 ns/op
# Warmup Iteration   6: 21.840 ns/op
# Warmup Iteration   7: 21.717 ns/op
# Warmup Iteration   8: 21.686 ns/op
# Warmup Iteration   9: 21.673 ns/op
# Warmup Iteration  10: 21.721 ns/op
# Warmup Iteration  11: 21.879 ns/op
# Warmup Iteration  12: 21.651 ns/op
# Warmup Iteration  13: 21.695 ns/op
# Warmup Iteration  14: 21.656 ns/op
# Warmup Iteration  15: 21.755 ns/op
# Warmup Iteration  16: 21.840 ns/op
# Warmup Iteration  17: 21.969 ns/op
# Warmup Iteration  18: 22.028 ns/op
# Warmup Iteration  19: 22.014 ns/op
# Warmup Iteration  20: 22.033 ns/op
Iteration   1: 22.131 ns/op
Iteration   2: 21.965 ns/op
Iteration   3: 22.115 ns/op
Iteration   4: 22.018 ns/op
Iteration   5: 22.172 ns/op
Iteration   6: 22.286 ns/op
Iteration   7: 22.018 ns/op
Iteration   8: 22.021 ns/op
Iteration   9: 22.019 ns/op
Iteration  10: 22.079 ns/op
Iteration  11: 22.227 ns/op
Iteration  12: 22.001 ns/op
Iteration  13: 22.055 ns/op
Iteration  14: 21.996 ns/op
Iteration  15: 22.038 ns/op
Iteration  16: 22.162 ns/op
Iteration  17: 22.015 ns/op
Iteration  18: 21.876 ns/op
Iteration  19: 21.845 ns/op
Iteration  20: 21.943 ns/op


Result "com.github.arnaudroger.Random2ArrayAccess.testGet":
  21.938 ±(99.9%) 0.032 ns/op [Average]
  (min, avg, max) = (21.636, 21.938, 22.524), stdev = 0.135
  CI (99.9%): [21.906, 21.970] (assumes normal distribution)


# JMH version: 1.19
# VM version: JDK 1.8.0_131, VM 25.131-b11
# VM invoker: /usr/lib/jvm/java-8-oracle/jre/bin/java
# VM options: <none>
# Warmup: 20 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: com.github.arnaudroger.Random2ArrayAccess.testGet
# Parameters: (size = 1000)

# Run progress: 16.67% complete, ETA 00:33:33
# Fork: 1 of 10
# Warmup Iteration   1: 22.503 ns/op
# Warmup Iteration   2: 21.751 ns/op
# Warmup Iteration   3: 22.223 ns/op
# Warmup Iteration   4: 22.160 ns/op
# Warmup Iteration   5: 22.120 ns/op
# Warmup Iteration   6: 22.187 ns/op
# Warmup Iteration   7: 22.159 ns/op
# Warmup Iteration   8: 22.139 ns/op
# Warmup Iteration   9: 22.165 ns/op
# Warmup Iteration  10: 22.237 ns/op
# Warmup Iteration  11: 22.129 ns/op
# Warmup Iteration  12: 22.132 ns/op
# Warmup Iteration  13: 22.228 ns/op
# Warmup Iteration  14: 22.166 ns/op
# Warmup Iteration  15: 22.281 ns/op
# Warmup Iteration  16: 22.179 ns/op
